iso3,m49,country_name,official_name,capital_city,latitude,longitude,un_region,un_subregion,independent,un_member,income_group,wb_region
ABW,533,Aruba,Aruba,Oranjestad,12.5,-69.96666666,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
AFG,004,Afghanistan,Islamic Republic of Afghanistan,Kabul,33,65,Asia,Southern Asia,True,True,Low income,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,024,Angola,Republic of Angola,Luanda,-12.5,18.5,Africa,Middle Africa,True,True,Lower middle income,Sub-Saharan Africa 
AIA,660,Anguilla,Anguilla,The Valley,18.25,-63.16666666,Americas,Caribbean,False,False,,
ALA,248,Åland Islands,Åland Islands,Mariehamn,60.116667,19.9,Europe,Northern Europe,False,False,,
ALB,008,Albania,Republic of Albania,Tirana,41,20,Europe,Southeast Europe,True,True,Upper middle income,Europe & Central Asia
AND,020,Andorra,Principality of Andorra,Andorra la Vella,42.5,1.5,Europe,Southern Europe,True,True,High income,Europe & Central Asia
ARE,784,United Arab Emirates,United Arab Emirates,Abu Dhabi,24,54,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,032,Argentina,Argentine Republic,Buenos Aires,-34,-64,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
ARM,051,Armenia,Republic of Armenia,Yerevan,40,45,Asia,Western Asia,True,True,Upper middle income,Europe & Central Asia
ASM,016,American Samoa,American Samoa,Pago Pago,-14.33333333,-170,Oceania,Polynesia,False,False,High income,East Asia & Pacific
ATA,010,Antarctica,Antarctica,,-90,0,Antarctic,,False,False,,
ATF,260,French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,Port-aux-Français,-49.25,69.167,Antarctic,,False,False,,
ATG,028,Antigua and Barbuda,Antigua and Barbuda,Saint John's,17.05,-61.8,Americas,Caribbean,True,True,High income,Latin America & Caribbean 
AUS,036,Australia,Commonwealth of Australia,Canberra,-27,133,Oceania,Australia and New Zealand,True,True,High income,East Asia & Pacific
AUT,040,Austria,Republic of Austria,Vienna,47.33333333,13.33333333,Europe,Central Europe,True,True,High income,Europe & Central Asia
AZE,031,Azerbaijan,Republic of Azerbaijan,Baku,40.5,47.5,Asia,Western Asia,True,True,Upper middle income,Europe & Central Asia
BDI,108,Burundi,Republic of Burundi,Gitega,-3.5,30,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
BEL,056,Belgium,Kingdom of Belgium,Brussels,50.83333333,4,Europe,Western Europe,True,True,High income,Europe & Central Asia
BEN,204,Benin,Republic of Benin,Porto-Novo,9.5,2.25,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
BES,535,Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",Kralendijk,12.18,-68.25,Americas,Caribbean,False,False,,
BFA,854,Burkina Faso,Burkina Faso,Ouagadougou,13,-2,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
BGD,050,Bangladesh,People's Republic of Bangladesh,Dhaka,24,90,Asia,Southern Asia,True,True,Lower middle income,South Asia
BGR,100,Bulgaria,Republic of Bulgaria,Sofia,43,25,Europe,Southeast Europe,True,True,High income,Europe & Central Asia
BHR,048,Bahrain,Kingdom of Bahrain,Manama,26,50.55,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,044,Bahamas,Commonwealth of the Bahamas,Nassau,24.25,-76,Americas,Caribbean,True,True,High income,Latin America & Caribbean 
BIH,070,Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,44,18,Europe,Southeast Europe,True,True,Upper middle income,Europe & Central Asia
BLM,652,Saint Barthélemy,Collectivity of Saint Barthélemy,Gustavia,18.5,-63.41666666,Americas,Caribbean,False,False,,
BLR,112,Belarus,Republic of Belarus,Minsk,53,28,Europe,Eastern Europe,True,True,Upper middle income,Europe & Central Asia
BLZ,084,Belize,Belize,Belmopan,17.25,-88.75,Americas,Central America,True,True,Upper middle income,Latin America & Caribbean 
BMU,060,Bermuda,Bermuda,Hamilton,32.33333333,-64.75,Americas,North America,False,False,High income,North America
BOL,068,Bolivia,Plurinational State of Bolivia,Sucre,-17,-65,Americas,South America,True,True,Lower middle income,Latin America & Caribbean 
BRA,076,Brazil,Federative Republic of Brazil,Brasília,-10,-55,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
BRB,052,Barbados,Barbados,Bridgetown,13.16666666,-59.53333333,Americas,Caribbean,True,True,High income,Latin America & Caribbean 
BRN,096,Brunei,"Nation of Brunei, Abode of Peace",Bandar Seri Begawan,4.5,114.66666666,Asia,South-Eastern Asia,True,True,High income,East Asia & Pacific
BTN,064,Bhutan,Kingdom of Bhutan,Thimphu,27.5,90.5,Asia,Southern Asia,True,True,Lower middle income,South Asia
BVT,074,Bouvet Island,Bouvet Island,,-54.43333333,3.4,Antarctic,,False,False,,
BWA,072,Botswana,Republic of Botswana,Gaborone,-22,24,Africa,Southern Africa,True,True,Upper middle income,Sub-Saharan Africa 
CAF,140,Central African Republic,Central African Republic,Bangui,7,21,Africa,Middle Africa,True,True,Low income,Sub-Saharan Africa 
